Desire;221;248;290;259;291
Eyes;303;187;164;368;185
Memory;136;131;306;298;314
Names;336;463;299;621;368
Signs;407;184;244;454;354
Dead;360;495;453;137;760
Sky;393;478;212;254;389
Continuous;555;194;485;442;483
Hidden;302;344;460;362;542
Thin;216;240;330;203;174
Trading;273;273;302;188;340
Narrative;274;512;696;434;408;253;424;194;358;74;482;360;344;204;643;312;1151;374
